,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000119865,64.24050424,5.630048978,0.622006957,9.051424456,1.41E-19,3.31E-20,CNRIP1
ENSG00000174371,213.1496537,5.640972853,0.623857988,9.042078426,1.54E-19,4.19E-20,EXO1
ENSG00000143476,177.4001146,5.647506997,0.626385378,9.016026222,1.95E-19,4.19E-20,DTL
ENSG00000277571,13401.19033,10.27771638,1.14009572,9.014783759,1.97E-19,4.64E-20,ELANE
ENSG00000123975,184.5763896,4.071968306,0.452022999,9.008321073,2.09E-19,5.89E-20,CKS2
ENSG00000115129,95.2532086,2.907355126,0.322765972,9.007625881,2.11E-19,7.30E-20,TP53I3
ENSG00000164087,79.31878979,3.888216125,0.434892372,8.940639978,3.87E-19,8.24E-20,POC1A
ENSG00000012223,46858.13569,8.210194325,0.919626228,8.927751374,4.35E-19,8.46E-20,LTF
ENSG00000184661,106.14982,4.595785861,0.515518384,8.914882571,4.88E-19,1.16E-19,CDCA2
ENSG00000167670,900.1016524,2.228824631,0.250518423,8.896849189,5.75E-19,1.26E-19,CHAF1A
ENSG00000227502,159.8438541,8.188744464,0.921692876,8.884461056,6.42E-19,1.76E-19,MROCKI
ENSG00000188486,330.1910611,2.576149189,0.29026124,8.875277977,6.98E-19,1.78E-19,H2AX
ENSG00000105737,116.6385354,5.542246457,0.627179326,8.836781163,9.85E-19,1.85E-19,GRIK5
ENSG00000174059,618.2098506,6.521069217,0.738810173,8.826447523,1.08E-18,1.86E-19,CD34
ENSG00000169385,2466.710448,5.316070208,0.603341226,8.81105083,1.24E-18,2.72E-19,RNASE2
ENSG00000122641,434.8680427,6.926126759,0.786354971,8.807888313,1.28E-18,2.88E-19,INHBA
ENSG00000129810,103.9767109,3.615405477,0.411345068,8.789227728,1.51E-18,3.11E-19,SGO1
ENSG00000085117,1340.647602,2.974571673,0.338493801,8.787669556,1.53E-18,3.25E-19,CD82
ENSG00000124469,1517.44504,6.832692833,0.780505997,8.754183641,2.06E-18,3.50E-19,CEACAM8
ENSG00000145386,235.7698673,3.905842167,0.446375788,8.750121022,2.13E-18,3.69E-19,CCNA2
ENSG00000117399,97.83865656,5.229183756,0.598225372,8.741160102,2.31E-18,4.34E-19,CDC20
