"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162650",231.658957075428,0.0235491820851621,0.0550616867984605,0.427687262312868,0.668878824797757,0.735306515444737
"ENSG00000162654",643.406095399205,-1.17526953972725,0.15204616518386,-7.72968879751801,1.07809809356038e-14,1.08846442138307e-13
"ENSG00000162664",292.206305031597,-0.0328540242749941,0.0475857876542662,-0.690416737738891,0.489932153956164,0.572272440924327
"ENSG00000162676",156.448340881563,0.202477055026704,0.119590774987205,1.69308255631228,0.0904397541057375,0.13656701752748
"ENSG00000162687",118.944364350044,-0.307628041318136,0.106787808932781,-2.88074120438014,0.00396741253575303,0.00851483807799827
"ENSG00000162688",207.455616874365,0.423707312279727,0.0892245265814835,4.74877624475575,2.04651210066697e-06,7.81801660078077e-06
"ENSG00000162692",331.532430933088,1.36581289083779,0.196756751176467,6.94163164756069,3.87596788141959e-12,2.99667222248604e-11
"ENSG00000162694",515.282553718707,0.189219017411001,0.0430005208863186,4.400388960665,1.08057011296372e-05,3.6803476970729e-05
"ENSG00000162695",354.078975108782,0.174182843012097,0.0596305189106274,2.92103517115384,0.00348870440577182,0.00758339236467553
"ENSG00000162702",337.686925521599,-0.0784281284863256,0.0661288495063272,-1.18598961076469,0.235626402395135,0.310256907489115
"ENSG00000162704",8637.23492554542,-0.244586939354455,0.0512295587310399,-4.7743323466548,1.80304414286371e-06,6.94568891511963e-06
"ENSG00000162711",302.665368958802,-0.0440012711134734,0.143331451128055,-0.306989643704658,0.758851254998021,0.810612836581066
"ENSG00000162714",610.577824393641,-0.070876703730662,0.0348119952921977,-2.03598510041587,0.0417518514411964,0.0693975821105367
"ENSG00000162729",1224.943836622,-0.307686841224068,0.0471755845505287,-6.52216277033116,6.93007481875865e-11,4.67017572596663e-10
"ENSG00000162733",735.708208457545,0.164906148650808,0.077956420760587,2.11536326375545,0.0343989983000448,0.0584629191086779
"ENSG00000162734",9118.55900425771,-0.133510879346437,0.0605411053179575,-2.20529305907528,0.0274335365922258,0.0478416230511372
"ENSG00000162735",1662.96083150595,-0.16297951041388,0.0343778978068444,-4.74082247057677,2.12852380681753e-06,8.10883723917181e-06
"ENSG00000162736",1309.93706657097,-0.116380592354884,0.0509489924146589,-2.28425699585374,0.0223564316639249,0.0398705368965984
"ENSG00000162739",93.1865881840619,0.295716274690329,0.112729063412545,2.62324786295901,0.00870958842077466,0.0172921326020242
"ENSG00000162745",1067.92129100109,0.682283595763849,0.108501489749793,6.28824173140123,3.21081681706018e-10,2.01475557245808e-09
"ENSG00000162747",820.948028780444,-0.511581997382723,0.198469147062835,-2.57763992516559,0.00994775969720255,0.0193907444592748
"ENSG00000162755",478.687886932083,0.858844686701319,0.129094270264762,6.6528489989517,2.87473096601138e-11,2.01743532146884e-10
"ENSG00000162757",68.3903999506294,0.40870870086108,0.0520727261315764,7.84880553071799,4.20018312600576e-15,4.43553821496298e-14
"ENSG00000162772",1873.94501375976,-0.789476422704616,0.227593343584413,-3.46880277898727,0.000522783073304573,0.00134886107727192
"ENSG00000162775",201.412170910173,0.110148245736367,0.0710118730962163,1.55112435334756,0.120871886034357,0.175197071965018
"ENSG00000162777",1579.4699235344,0.039611329327614,0.0633146916644408,0.625626190166867,0.531560156193294,0.611610386352647
"ENSG00000162783",926.570125858904,-0.317536686694573,0.0869027820944597,-3.65393004736515,0.000258256656481903,0.000703032009311847
"ENSG00000162804",300.963868842731,0.530463389258107,0.0941836897990637,5.63222135796362,1.77903134638953e-08,9.11846610597146e-08
"ENSG00000162813",416.65689482084,-0.101227723325938,0.0601607446122133,-1.68262085149438,0.0924485125087041,0.139317229416138
"ENSG00000162814",307.933168284475,1.91853874052982,0.196338383980353,9.77159280643667,1.4908945008113e-22,3.47507650559083e-21
"ENSG00000162819",710.020970872699,-0.17801934261665,0.056291078425887,-3.16247880827209,0.00156432120876528,0.00365317545575879
"ENSG00000162825",243.926690628778,0.0548380992039118,0.0595436551669219,0.920973007958299,0.357064519521664,0.440142702116094
"ENSG00000162836",554.948801967173,0.0512029593735129,0.0702426427794848,0.728944090760597,0.466035862910855,0.549615538433863
"ENSG00000162869",527.279788686759,-0.0824634091400341,0.0630264730644342,-1.30839320575227,0.190739975921048,0.25929817935013
"ENSG00000162878",2945.9390593441,-0.95151442407175,0.0958667068564316,-9.92538969234358,3.22839166575123e-23,7.980497335181e-22
"ENSG00000162881",112.445122654511,0.436316570791067,0.0805154776037676,5.419039714802,5.99200070945549e-08,2.84871961283945e-07
"ENSG00000162882",275.265784751361,0.356181600498694,0.0809302651553669,4.40109271624045,1.07707085704705e-05,3.66956310226938e-05
"ENSG00000162885",100.353551590004,0.346962896398267,0.0945863800621294,3.66821202133292,0.000244252601064605,0.000668209659240017
"ENSG00000162889",4015.33529752442,0.131226612994792,0.0694567368544471,1.88932879570471,0.05884778536367,0.0935978247138177
"ENSG00000162892",175.75581969746,1.20784607340763,0.14089390422711,8.57273478248339,1.01056051528564e-17,1.41748469224226e-16
"ENSG00000162894",322.156752271084,0.886431906447553,0.105865176043754,8.37321524956604,5.606705887552e-17,7.28937882196472e-16
"ENSG00000162896",345.268415425817,0.376363853747378,0.200177398199601,1.88015159120061,0.0600874209361527,0.09519526021283
"ENSG00000162909",5417.06829613468,-0.0178827438695186,0.0509376505235279,-0.351071234847367,0.72553490742383,0.783066309774618
"ENSG00000162910",2088.51087336265,0.0700898961451163,0.0443854100724289,1.5791201665309,0.114308496875241,0.166876480144271
"ENSG00000162923",1080.16747886909,-0.0791894736489164,0.0390520563691818,-2.02779266987357,0.0425814128001388,0.0706486194313815
"ENSG00000162924",250.304732102771,-0.304056080832939,0.121258588726465,-2.50750139867475,0.012158810037564,0.0231361547573598
"ENSG00000162927",194.108252742429,-0.11474341418795,0.0504390401551215,-2.27489289715001,0.0229123555450228,0.0407236369311424
"ENSG00000162928",151.013200460944,-0.389800993646715,0.064861710462724,-6.00972424047827,1.85839154780123e-09,1.0649047200888e-08
"ENSG00000162944",220.489248046203,0.198472485620062,0.10301651670151,1.92660839227496,0.054028451987447,0.087059877690968
"ENSG00000162949",1296.23698294977,1.94215640839713,0.166509160594639,11.6639613187723,1.94765466654485e-31,1.03733781152932e-29
"ENSG00000162959",1136.79240095408,0.0276805587447505,0.0339825788072891,0.814551447131879,0.415329112107666,0.498747790108596
"ENSG00000162961",489.168235210004,0.0779953192393719,0.0515099673957553,1.51417916148398,0.129980405406628,0.186617263915624
"ENSG00000162971",181.078941080563,0.0541363195534927,0.0480142513670383,1.12750523047116,0.25952893031694,0.337416374967655
"ENSG00000162972",634.204365955029,-0.0329865402123912,0.0334539143246017,-0.986029314606487,0.324118727913922,0.405792525011469
"ENSG00000162980",508.132726330724,-0.0880843591883834,0.0656643320129706,-1.34143387266902,0.179779626143609,0.246679574142288
"ENSG00000162994",522.645890402739,0.431098951927877,0.095071161472939,4.53448706472977,5.7743640493239e-06,2.05428730699568e-05
"ENSG00000163001",2593.8615224997,0.259123835143324,0.047392022376476,5.46766780883243,4.55995438743463e-08,2.20497794392398e-07
"ENSG00000163013",118.790076294205,0.416634154100668,0.0739765653256767,5.63197483238733,1.78157686768225e-08,9.12726996570485e-08
"ENSG00000163017",7832.85963799853,1.82076591563796,0.187714177579185,9.69967180486347,3.02469992751343e-22,6.8415223618466e-21
"ENSG00000163029",446.521187567943,0.168510732883567,0.0479684253365327,3.51295110692802,0.000443159017413079,0.00115832815717857
"ENSG00000163032",241.43514766226,0.813655209736185,0.116546221791089,6.98139499703968,2.92263307379348e-12,2.28849642319411e-11
