,ID,adj.P.Val,P.Value,logFC,Gene.symbol
7438,ILMN_1756022,0.00199,0.000304,1.5622286,NCOA7
7440,ILMN_1783394,0.002,0.000304,-1.0514439,S100A9
7501,ILMN_1803036,0.00206,0.000317,-1.0616019,SLC11A1
7518,ILMN_2139816,0.00207,0.000319,-1.177424,TRIP6
7523,ILMN_2388547,0.00209,0.000322,-1.6057019,NLRP12
7552,ILMN_1775008,0.00212,0.000329,-1.0105914,ANPEP
7587,ILMN_1711650,0.00216,0.000336,-2.1669258,IER3
7592,ILMN_1778321,0.00217,0.000337,1.5921208,PDLIM7
7598,ILMN_1772964,0.00218,0.000339,-1.0054775,PROM1
7599,ILMN_2412860,0.00218,0.000339,-1.0109819,CPA3
7603,ILMN_1663195,0.00218,0.000339,-1.3021361,KCNA5
7628,ILMN_1666594,0.0022,0.000344,-2.2348934,NDN
7633,ILMN_1776181,0.00221,0.000345,1.0329958,VNN2
7663,ILMN_1683859,0.00223,0.00035,-1.0580331,RHAG
7675,ILMN_1809590,0.00224,0.000352,-1.2963173,GPAT3
7691,ILMN_1672807,0.00225,0.000355,1.0975347,NFIL3
7692,ILMN_1738093,0.00226,0.000356,-1.2785394,COBLL1
7718,ILMN_1795158,0.00229,0.000362,2.1074417,NCF1C
7728,ILMN_1704056,0.00229,0.000363,2.0371396,SDSL
7733,ILMN_1803073,0.00229,0.000364,-1.3561762,CTSH
7742,ILMN_2390310,0.0023,0.000366,1.6907812,FOXC1
7767,ILMN_1652082,0.00234,0.000372,1.0567226,TNFRSF4
7776,ILMN_1723978,0.00234,0.000374,1.5115782,HAVCR2
7791,ILMN_1688423,0.00236,0.000377,-2.5766992,AHSP
7858,ILMN_2409167,0.00242,0.00039,1.580767,38596
7860,ILMN_1755937,0.00243,0.000391,1.1384037,FOLR3
7873,ILMN_1801119,0.00244,0.000394,-1.2729127,HIST1H4B
7886,ILMN_2125747,0.00245,0.000396,1.1313271,AKR1C4
7894,ILMN_2313730,0.00246,0.000398,1.4961326,MYOF
7934,ILMN_1737205,0.00249,0.000405,-1.3666353,STAB1
7939,ILMN_1671693,0.00249,0.000405,-1.0646095,CRHBP
7948,ILMN_2330861,0.0025,0.000407,-1.2003116,AQP9
8008,ILMN_2230162,0.00254,0.000417,-1.0674773,ARHGEF10
8031,ILMN_1671992,0.00256,0.000421,-1.0525263,HSPA6
8062,ILMN_1787412,0.00259,0.000428,1.0466098,NINJ1
8068,ILMN_1781580,0.00259,0.000429,1.2088092,NRIP3
8079,ILMN_1673352,0.0026,0.000431,1.2415333,FPR1
8119,ILMN_1808238,0.00265,0.000442,-2.2287846,HBQ1
8162,ILMN_1716687,0.00273,0.000456,-1.0827949,NET1
8184,ILMN_1769876,0.00275,0.00046,1.243016,MCEMP1
8189,ILMN_1752899,0.00275,0.000462,-1.9373431,MYB
8195,ILMN_2187727,0.00276,0.000463,-1.0885908,PTPN14
8199,ILMN_1761945,0.00276,0.000464,1.1820841,PLA2G16
8274,ILMN_1789166,0.00284,0.000481,-1.0160841,KIAA1147
8313,ILMN_1780601,0.00287,0.000489,1.2093506,HSPA1B
8314,ILMN_1664303,0.00287,0.000489,1.0673994,HK3
8318,ILMN_2261600,0.00287,0.00049,1.8847549,RNASE2
8328,ILMN_1681542,0.00289,0.000493,1.1393851,HBM
8334,ILMN_2088124,0.0029,0.000495,1.0339249,SCIMP
8339,ILMN_2396672,0.0029,0.000496,-1.129813,FLVCR2
8363,ILMN_1696749,0.00293,0.000503,1.5829686,NOD2
8389,ILMN_1671766,0.00298,0.000512,1.1787238,CKAP4
8401,ILMN_1695530,0.00299,0.000514,-2.8211319,ID2
8405,ILMN_2392546,0.00299,0.000516,-1.2177934,FCER1G
8424,ILMN_1720083,0.00301,0.00052,1.1698252,CACNA2D4
8433,ILMN_1698100,0.00302,0.000522,1.4147259,ZSCAN18
8454,ILMN_1715715,0.00305,0.000528,1.3266962,SOCS2
8489,ILMN_1673305,0.0031,0.000539,1.2519666,CYP27A1
8491,ILMN_1777519,0.0031,0.00054,1.6163637,MAFB
8514,ILMN_1721833,0.00314,0.000548,1.1973612,ATP1B1
8583,ILMN_1695404,0.00325,0.000572,1.2732664,LRG1
8585,ILMN_1714364,0.00326,0.000573,-1.5296144,IL1RN
8588,ILMN_1652431,0.00326,0.000574,-2.3425358,JCHAIN
8608,ILMN_2159453,0.00328,0.000578,1.0468764,S100A12
8643,ILMN_2117987,0.00331,0.000587,-1.0082579,SLITRK4
8652,ILMN_2391051,0.00332,0.000589,1.6962313,
8712,ILMN_1766169,0.00338,0.000604,-1.6773703,
8726,ILMN_1819384,0.00339,0.000607,1.3056491,
8740,ILMN_2088437,0.00341,0.000611,2.1915862,
8754,ILMN_2094313,0.00342,0.000613,1.0019619,
8767,ILMN_1684873,0.00344,0.000617,1.1242723,
8801,ILMN_2175912,0.00349,0.000629,1.1313527,
8806,ILMN_1710962,0.00349,0.000631,-1.3219032,
8856,ILMN_1814022,0.00355,0.000645,1.1036474,
8879,ILMN_1701911,0.0036,0.000656,-1.1386718,
8888,ILMN_1697377,0.00361,0.000658,-1.3468857,
8906,ILMN_2374340,0.00364,0.000664,1.389519,
8977,ILMN_2376455,0.00375,0.000689,1.3886537,
8987,ILMN_1653466,0.00376,0.000692,1.3214043,
9019,ILMN_1708728,0.00381,0.000705,1.3317645,
9048,ILMN_1811702,0.00385,0.000714,1.3870468,
9052,ILMN_1766713,0.00387,0.000717,-1.0346255,
9062,ILMN_1695034,0.00389,0.000722,-1.0617356,
9068,ILMN_1708922,0.00389,0.000724,1.0405737,
9114,ILMN_1776998,0.00396,0.00074,-1.3292311,
9154,ILMN_1655549,0.00405,0.000761,1.4936159,
9159,ILMN_1656011,0.00406,0.000763,-1.6026937,
9192,ILMN_2269256,0.00412,0.000777,-1.1504721,
9194,ILMN_1689329,0.00413,0.000777,-1.1286624,
9207,ILMN_1706635,0.00416,0.000785,-3.0262197,
9298,ILMN_1666976,0.00432,0.000823,1.2585572,
9336,ILMN_2266595,0.0044,0.000841,2.8246483,
9364,ILMN_1701906,0.00444,0.000852,1.6870057,
9419,ILMN_1696360,0.00452,0.000873,1.1422669,
9428,ILMN_2195462,0.00453,0.000876,-1.406874,
9454,ILMN_1729453,0.00458,0.000888,-1.1640025,
9463,ILMN_1767766,0.00459,0.000891,-1.6933431,
9500,ILMN_1758146,0.00465,0.000906,1.2748092,
9523,ILMN_1804737,0.00469,0.000915,-1.0749547,
9529,ILMN_1783805,0.0047,0.000918,-1.0517133,
9539,ILMN_1666208,0.00471,0.000921,-1.1003007,
9558,ILMN_1714418,0.00474,0.000929,1.100348,
9628,ILMN_1815500,0.00487,0.000962,-1.2566412,
9645,ILMN_1707491,0.00491,0.000971,-2.0972102,
9735,ILMN_1730816,0.0051,0.00102,1.5066266,
9739,ILMN_1801105,0.0051,0.00102,1.0524975,
9758,ILMN_1788192,0.00514,0.00103,-1.0995683,
9769,ILMN_1734878,0.00518,0.00104,-1.4352381,
9776,ILMN_1810423,0.0052,0.00104,-1.0933659,
9801,ILMN_2214098,0.00524,0.00105,-1.2520525,
9823,ILMN_1703538,0.00528,0.00106,1.8461895,
9848,ILMN_1749591,0.00532,0.00107,1.2363454,
9869,ILMN_1655565,0.00535,0.00108,-1.0686015,
9894,ILMN_2231928,0.0054,0.0011,1.1305777,
9923,ILMN_1769245,0.00545,0.00111,1.2572281,
9924,ILMN_2382829,0.00545,0.00111,-1.5669289,
9926,ILMN_1710207,0.00546,0.00111,-1.0121107,
9966,ILMN_1737394,0.00554,0.00113,1.4493615,
10020,ILMN_2053103,0.00567,0.00116,-1.9652165,
10023,ILMN_1674985,0.00568,0.00117,1.5231155,
10025,ILMN_1865764,0.00568,0.00117,1.0255708,
10027,ILMN_1780667,0.00568,0.00117,-1.0322841,
10082,ILMN_2109708,0.00579,0.0012,1.8618067,
10081,ILMN_1777233,0.00579,0.0012,-1.3684677,
10085,ILMN_2212909,0.0058,0.0012,-1.168406,
10111,ILMN_2349658,0.00584,0.00121,1.0487073,
10169,ILMN_1709820,0.00598,0.00125,1.2913009,
10221,ILMN_1791375,0.00611,0.00128,-1.1790379,
10247,ILMN_1666089,0.00616,0.00129,1.3278435,
10243,ILMN_2054554,0.00614,0.00129,-1.0153707,
10259,ILMN_1666932,0.00618,0.0013,1.7727208,
10262,ILMN_1698766,0.00618,0.0013,1.0527508,
10265,ILMN_2345353,0.00618,0.0013,1.5957128,
10268,ILMN_1679826,0.00619,0.0013,-1.3726913,
10288,ILMN_1674038,0.00623,0.00131,1.4675968,
10279,ILMN_1704537,0.00622,0.00131,-1.8729109,
10296,ILMN_1756439,0.00625,0.00132,-1.8094466,
10333,ILMN_1785439,0.00633,0.00134,-1.2798805,
10343,ILMN_1738468,0.00635,0.00135,-1.07166,
10396,ILMN_2326713,0.00645,0.00137,1.3674649,
10387,ILMN_1683120,0.00643,0.00137,-1.1767506,
